competition_id,selling_season,selling_period,competitor_id,price_competitor,price,demand,competitor_has_capacity,calculation_duration,errors,__source_file,__revenue_proxy
3VKNei,1,1,AdaptableCrane,58.8,46.0,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,2,AdaptableCrane,38.9,41.4,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,3,AdaptableCrane,35.2,37.3,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,4,AdaptableCrane,32.6,33.5,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,5,AdaptableCrane,30.0,30.2,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,6,AdaptableCrane,30.0,27.2,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,7,AdaptableCrane,34.8,24.4,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,8,AdaptableCrane,30.0,22.0,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,9,AdaptableCrane,30.0,19.8,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,10,AdaptableCrane,30.0,17.8,3,True,0.0,,duopoly_competition_details (10).csv,53.400000000000006
3VKNei,1,11,AdaptableCrane,30.0,17.1,2,True,0.001,,duopoly_competition_details (10).csv,34.2
3VKNei,1,12,AdaptableCrane,30.0,17.0,1,True,0.0,,duopoly_competition_details (10).csv,17.0
3VKNei,1,13,AdaptableCrane,30.0,17.0,1,True,0.0,,duopoly_competition_details (10).csv,17.0
3VKNei,1,14,AdaptableCrane,30.0,17.0,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,15,AdaptableCrane,30.0,16.9,2,True,0.0,,duopoly_competition_details (10).csv,33.8
3VKNei,1,16,AdaptableCrane,46.0,17.1,1,True,0.0,,duopoly_competition_details (10).csv,17.1
3VKNei,1,17,AdaptableCrane,30.2,17.4,2,True,0.0,,duopoly_competition_details (10).csv,34.8
3VKNei,1,18,AdaptableCrane,30.3,17.9,4,True,0.0,,duopoly_competition_details (10).csv,71.6
3VKNei,1,19,AdaptableCrane,30.6,19.1,1,True,0.0,,duopoly_competition_details (10).csv,19.1
3VKNei,1,20,AdaptableCrane,56.1,20.4,1,True,0.0,,duopoly_competition_details (10).csv,20.4
3VKNei,1,21,AdaptableCrane,60.5,21.8,1,True,0.0,,duopoly_competition_details (10).csv,21.8
3VKNei,1,22,AdaptableCrane,32.8,23.4,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,23,AdaptableCrane,35.6,24.9,1,True,0.0,,duopoly_competition_details (10).csv,24.9
3VKNei,1,24,AdaptableCrane,36.2,26.4,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,25,AdaptableCrane,36.8,27.9,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,26,AdaptableCrane,37.4,29.3,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,27,AdaptableCrane,37.9,30.6,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,28,AdaptableCrane,38.4,31.8,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,29,AdaptableCrane,38.8,32.8,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,30,AdaptableCrane,39.2,33.7,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,31,AdaptableCrane,39.6,34.5,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,32,AdaptableCrane,39.8,35.2,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,33,AdaptableCrane,62.7,35.8,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,34,AdaptableCrane,42.0,36.2,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,35,AdaptableCrane,42.2,36.6,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,36,AdaptableCrane,36.1,36.8,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,37,AdaptableCrane,42.0,37.0,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,38,AdaptableCrane,42.1,37.0,0,True,0.0,,duopoly_competition_details (10).csv,0.0
3VKNei,1,39,AdaptableCrane,42.1,37.0,0,True,0.0,,duopoly_competition_details (10).csv,0.0
