competition_id,selling_season,selling_period,competitor_id,price_competitor,price,demand,competitor_has_capacity,calculation_duration,errors
3GXU7u,1,1,WanderingKakapo,99.4,35.0,0,True,0.0,
3GXU7u,1,2,WanderingKakapo,56.4,31.5,0,True,0.0,
3GXU7u,1,3,WanderingKakapo,59.8,28.4,1,True,0.0,
3GXU7u,1,4,WanderingKakapo,42.8,27.3,1,True,0.0,
3GXU7u,1,5,WanderingKakapo,40.6,27.2,0,True,0.0,
3GXU7u,1,6,WanderingKakapo,42.6,26.5,1,True,0.0,
3GXU7u,1,7,WanderingKakapo,43.1,26.5,0,True,0.0,
3GXU7u,1,8,WanderingKakapo,43.4,26.1,0,True,0.0,
3GXU7u,1,9,WanderingKakapo,43.3,25.4,0,True,0.0,
3GXU7u,1,10,WanderingKakapo,40.7,24.6,0,True,0.0,
3GXU7u,1,11,WanderingKakapo,40.9,23.6,1,True,0.0,
3GXU7u,1,12,WanderingKakapo,41.0,23.0,0,True,0.0,
3GXU7u,1,13,WanderingKakapo,41.1,22.2,0,True,0.0,
3GXU7u,1,14,WanderingKakapo,41.2,21.3,2,True,0.0,
3GXU7u,1,15,WanderingKakapo,38.6,20.9,0,True,0.0,
3GXU7u,1,16,WanderingKakapo,38.8,20.4,0,True,0.0,
3GXU7u,1,17,WanderingKakapo,38.9,19.7,1,True,0.0,
3GXU7u,1,18,WanderingKakapo,39.0,19.2,0,True,0.0,
3GXU7u,1,19,WanderingKakapo,39.0,18.7,0,True,0.0,
3GXU7u,1,20,WanderingKakapo,36.7,18.1,3,True,0.0,
3GXU7u,1,21,WanderingKakapo,36.9,18.1,1,True,0.0,
3GXU7u,1,22,WanderingKakapo,37.0,18.0,0,True,0.0,
3GXU7u,1,23,WanderingKakapo,37.1,18.0,1,True,0.0,
3GXU7u,1,24,WanderingKakapo,37.1,17.9,0,True,0.0,
3GXU7u,1,25,WanderingKakapo,34.8,17.8,0,True,0.0,
3GXU7u,1,26,WanderingKakapo,34.9,17.6,0,True,0.0,
3GXU7u,1,27,WanderingKakapo,35.1,17.4,1,True,0.0,
