competition_id,selling_season,day,competitor_id,competitor_price,our_price,our_demand,competitor_has_capacity,calculation_duration,errors,revenue,cum_revenue,cum_revenue_local
4SWhb2,4,1,AdaptableCrane,69.0,70.0,0,True,0.0,,0.0,18236.799999999996,0.0
4SWhb2,4,2,AdaptableCrane,70.0,56.0,0,True,0.0,,0.0,18236.799999999996,0.0
4SWhb2,4,3,AdaptableCrane,56.0,44.8,0,True,0.0,,0.0,18236.799999999996,0.0
4SWhb2,4,4,AdaptableCrane,44.8,35.8,0,True,0.0,,0.0,18236.799999999996,0.0
4SWhb2,4,5,AdaptableCrane,35.8,28.7,0,True,0.0,,0.0,18236.799999999996,0.0
4SWhb2,4,6,AdaptableCrane,28.7,22.9,0,True,0.0,,0.0,18236.799999999996,0.0
4SWhb2,4,7,AdaptableCrane,22.9,18.4,0,True,0.0,,0.0,18236.799999999996,0.0
4SWhb2,4,8,AdaptableCrane,18.4,14.7,0,True,0.0,,0.0,18236.799999999996,0.0
4SWhb2,4,9,AdaptableCrane,14.7,11.7,0,True,0.0,,0.0,18236.799999999996,0.0
4SWhb2,4,10,AdaptableCrane,11.7,9.4,0,True,0.0,,0.0,18236.799999999996,0.0
4SWhb2,4,11,AdaptableCrane,9.4,7.5,0,True,0.0,,0.0,18236.799999999996,0.0
4SWhb2,4,12,AdaptableCrane,7.5,6.0,0,True,0.0,,0.0,18236.799999999996,0.0
4SWhb2,4,13,AdaptableCrane,6.0,5.0,1,True,0.0,,5.0,18241.799999999996,5.0
4SWhb2,4,14,AdaptableCrane,5.0,5.0,0,True,0.0,,0.0,18241.799999999996,5.0
4SWhb2,4,15,AdaptableCrane,5.0,5.0,0,True,0.0,,0.0,18241.799999999996,5.0
4SWhb2,4,16,AdaptableCrane,5.0,5.0,0,True,0.0,,0.0,18241.799999999996,5.0
4SWhb2,4,17,AdaptableCrane,5.0,5.0,0,True,0.0,,0.0,18241.799999999996,5.0
4SWhb2,4,18,AdaptableCrane,5.0,5.0,1,True,0.0,,5.0,18246.799999999996,10.0
