competition_id,selling_season,selling_period,competitor_id,price_competitor,price,demand,competitor_has_capacity,calculation_duration,errors
3Ajpem,1,1,Winner_2023,75.0,80.0,2,True,0.0,
3Ajpem,1,2,Winner_2023,50.0,96.0,0,True,0.0,
3Ajpem,1,3,Winner_2023,25.0,100.0,0,True,0.0,
3Ajpem,1,4,Winner_2023,22.5,100.0,0,True,0.0,
3Ajpem,1,5,Winner_2023,20.2,98.8,0,True,0.0,
3Ajpem,1,6,Winner_2023,18.2,91.2,0,True,0.0,
3Ajpem,1,7,Winner_2023,0.5,82.2,0,True,0.0,
3Ajpem,1,8,Winner_2023,20.0,71.5,0,True,0.0,
3Ajpem,1,9,Winner_2023,13.2,60.6,0,True,0.0,
3Ajpem,1,10,Winner_2023,21.1,50.5,0,True,0.0,
3Ajpem,1,11,Winner_2023,21.5,41.5,0,True,0.0,
3Ajpem,1,12,Winner_2023,18.7,33.7,2,True,0.0,
3Ajpem,1,13,Winner_2023,14.1,30.2,0,True,0.0,
3Ajpem,1,14,Winner_2023,15.5,26.5,1,True,0.0,
3Ajpem,1,15,Winner_2023,11.7,23.9,1,True,0.0,
3Ajpem,1,16,Winner_2023,6.8,22.0,0,True,0.0,
3Ajpem,1,17,Winner_2023,0.5,19.9,1,True,0.0,
3Ajpem,1,18,Winner_2023,0.5,18.5,1,True,0.0,
3Ajpem,1,19,Winner_2023,0.5,17.6,2,True,0.0,
3Ajpem,1,20,Winner_2023,0.5,17.5,0,True,0.0,
3Ajpem,1,21,Winner_2023,0.5,17.2,0,True,0.0,
3Ajpem,1,22,Winner_2023,0.5,16.7,0,True,0.0,
3Ajpem,1,23,Winner_2023,0.5,16.1,0,True,0.0,
3Ajpem,1,24,Winner_2023,0.5,15.1,0,True,0.0,
3Ajpem,1,25,Winner_2023,0.5,14.1,0,True,0.0,
3Ajpem,1,26,Winner_2023,0.5,13.1,0,True,0.0,
3Ajpem,1,27,Winner_2023,0.5,12.0,0,True,0.0,
3Ajpem,1,28,Winner_2023,0.5,10.9,0,True,0.0,
3Ajpem,1,29,Winner_2023,0.5,9.8,0,True,0.0,
3Ajpem,1,30,Winner_2023,0.5,8.7,2,True,0.0,
3Ajpem,1,31,Winner_2023,0.5,8.0,0,True,0.0,
3Ajpem,1,32,Winner_2023,0.5,7.4,1,True,0.0,
3Ajpem,1,33,Winner_2023,0.5,6.8,0,True,0.0,
3Ajpem,1,34,Winner_2023,0.5,6.3,0,True,0.0,
3Ajpem,1,35,Winner_2023,0.5,5.7,0,True,0.0,
3Ajpem,1,36,Winner_2023,0.5,5.2,0,True,0.0,
3Ajpem,1,37,Winner_2023,0.5,5.0,1,True,0.0,
3Ajpem,1,38,Winner_2023,0.5,5.0,0,True,0.0,
3Ajpem,1,39,Winner_2023,0.5,5.0,1,True,0.0,
3Ajpem,1,40,Winner_2023,0.5,5.0,0,True,0.0,
3Ajpem,1,41,Winner_2023,0.5,5.0,0,True,0.0,
3Ajpem,1,42,Winner_2023,0.5,5.0,1,True,0.0,
3Ajpem,1,43,Winner_2023,0.5,5.0,0,True,0.0,
3Ajpem,1,44,Winner_2023,0.5,5.0,0,True,0.0,
3Ajpem,1,45,Winner_2023,0.5,5.0,0,True,0.0,
3Ajpem,1,46,Winner_2023,0.5,5.0,1,True,0.0,
3Ajpem,1,47,Winner_2023,0.5,5.0,0,True,0.0,
